Date,Open,Close,COVID Case,COVID Death,Volume,Value
2019-11-05,0.66,0.65,0,0,85.397,38.25576
2019-11-06,0.65,0.65,0,0,85.397,38.25576
2019-11-07,0.65,0.65,0,0,85.397,38.25576
2019-11-08,0.65,0.65,0,0,85.397,38.25576
2019-11-11,0.65,0.65,0,0,85.397,38.25576
2019-11-12,0.65,0.645,0,0,85.397,38.25576
2019-11-13,0.645,0.64,0,0,85.397,38.25576
2019-11-14,0.64,0.64,0,0,85.397,38.25576
2019-11-15,0.64,0.64,0,0,85.397,38.25576
2019-11-18,0.635,0.63,0,0,85.397,38.25576
2019-11-19,0.63,0.63,0,0,85.397,38.25576
2019-11-20,0.635,0.63,0,0,85.397,38.25576
2019-11-21,0.63,0.625,0,0,85.397,38.25576
2019-11-22,0.625,0.63,0,0,85.397,38.25576
2019-11-25,0.63,0.645,0,0,85.397,38.25576
2019-11-26,0.645,0.635,0,0,85.397,38.25576
2019-11-27,0.635,0.66,0,0,85.397,38.25576
2019-11-28,0.66,0.65,0,0,85.397,38.25576
2019-11-29,0.65,0.645,0,0,85.397,38.25576
2019-12-02,0.645,0.645,0,0,85.397,38.25576
2019-12-03,0.64,0.635,0,0,85.397,38.25576
2019-12-04,0.635,0.64,0,0,85.397,38.25576
2019-12-05,0.635,0.64,0,0,85.397,38.25576
2019-12-06,0.64,0.645,0,0,85.397,38.25576
2019-12-09,0.645,0.64,0,0,85.397,38.25576
2019-12-10,0.64,0.645,0,0,85.397,38.25576
2019-12-11,0.65,0.745,0,0,85.397,38.25576
2019-12-12,0.76,0.765,0,0,85.397,38.25576
2019-12-13,0.78,0.74,0,0,85.397,38.25576
2019-12-16,0.76,0.75,0,0,85.397,38.25576
2019-12-17,0.755,0.745,0,0,85.397,38.25576
2019-12-18,0.745,0.78,0,0,85.397,38.25576
2019-12-19,0.775,0.76,0,0,85.397,38.25576
2019-12-20,0.775,0.77,0,0,85.397,38.25576
2019-12-23,0.77,0.75,0,0,85.397,38.25576
2019-12-24,0.75,0.745,0,0,85.397,38.25576
2019-12-26,0.745,0.77,0,0,85.397,38.25576
2019-12-27,0.775,0.755,0,0,85.397,38.25576
2019-12-30,0.76,0.755,0,0,85.397,38.25576
2019-12-31,0.755,0.745,0,0,85.397,38.25576
2020-01-02,0.745,0.76,0,0,72.908,28.64
2020-01-03,0.765,0.745,0,0,72.908,28.64
2020-01-06,0.74,0.735,0,0,72.908,28.64
2020-01-07,0.74,0.745,0,0,72.908,28.64
2020-01-08,0.735,0.695,0,0,72.908,28.64
2020-01-09,0.715,0.72,0,0,72.908,28.64
2020-01-10,0.72,0.72,0,0,72.908,28.64
2020-01-13,0.72,0.72,0,0,72.908,28.64
2020-01-14,0.72,0.71,0,0,72.908,28.64
2020-01-15,0.71,0.71,0,0,72.908,28.64
2020-01-16,0.71,0.71,0,0,72.908,28.64
2020-01-17,0.715,0.705,0,0,72.908,28.64
2020-01-20,0.71,0.7,0,0,72.908,28.64
2020-01-21,0.7,0.685,0,0,72.908,28.64
2020-01-22,0.685,0.705,0,0,72.908,28.64
2020-01-23,0.705,0.685,0,0,72.908,28.64
2020-01-24,0.685,0.685,0,0,72.908,28.64
2020-01-28,0.67,0.675,0,0,72.908,28.64
2020-01-29,0.675,0.675,3,0,72.908,28.64
2020-01-30,0.675,0.665,1,0,72.908,28.64
2020-01-31,0.655,0.64,0,0,72.908,28.64
2020-02-03,0.63,0.635,0,0,72.908,28.64
2020-02-04,0.635,0.64,2,0,72.908,28.64
2020-02-05,0.645,0.65,2,0,72.908,28.64
2020-02-06,0.655,0.66,2,0,72.908,28.64
2020-02-07,0.66,0.65,1,0,72.908,28.64
2020-02-10,0.645,0.64,1,0,72.908,28.64
2020-02-11,0.64,0.645,0,0,72.908,28.64
2020-02-12,0.645,0.63,0,0,72.908,28.64
2020-02-13,0.635,0.68,0,0,72.908,28.64
2020-02-14,0.685,0.675,1,0,72.908,28.64
2020-02-17,0.68,0.675,0,0,72.908,28.64
2020-02-18,0.675,0.675,0,0,72.908,28.64
2020-02-19,0.67,0.675,0,0,72.908,28.64
2020-02-20,0.675,0.67,0,0,72.908,28.64
2020-02-21,0.665,0.675,0,0,72.908,28.64
2020-02-24,0.66,0.64,0,0,72.908,28.64
2020-02-25,0.625,0.64,0,0,72.908,28.64
2020-02-26,0.635,0.635,0,0,72.908,28.64
2020-02-27,0.635,0.63,1,0,72.908,28.64
2020-02-28,0.63,0.635,2,0,72.908,28.64
2020-03-02,0.635,0.64,0,0,72.908,28.64
2020-03-03,0.64,0.64,7,0,72.908,28.64
2020-03-04,0.64,0.63,14,0,72.908,28.64
2020-03-05,0.635,0.635,5,0,72.908,28.64
2020-03-06,0.635,0.615,28,0,72.908,28.64
2020-03-09,0.605,0.575,18,0,72.908,28.64
2020-03-10,0.55,0.55,12,0,72.908,28.64
2020-03-11,0.555,0.56,20,0,72.908,28.64
2020-03-12,0.545,0.495,9,0,72.908,28.64
2020-03-13,0.495,0.495,39,0,72.908,28.64
2020-03-16,0.44,0.425,125,0,72.908,28.64
2020-03-17,0.375,0.37,120,2,72.908,28.64
2020-03-18,0.385,0.335,117,0,72.908,28.64
2020-03-19,0.325,0.305,110,0,72.908,28.64
2020-03-20,0.305,0.335,130,1,72.908,28.64
2020-03-23,0.3,0.305,212,5,72.908,28.64
2020-03-24,0.315,0.34,106,2,72.908,28.64
2020-03-25,0.355,0.345,172,3,72.908,28.64
2020-03-26,0.35,0.395,235,5,72.908,28.64
2020-03-27,0.415,0.415,130,2,72.908,28.64
2020-03-30,0.405,0.395,156,4,72.908,28.64
2020-03-31,0.41,0.41,140,5,72.908,28.64
2020-04-01,0.405,0.39,142,2,42.568,18.3
2020-04-02,0.39,0.4,208,2,42.568,18.3
2020-04-03,0.405,0.4,217,5,42.568,18.3
2020-04-06,0.405,0.405,131,2,42.568,18.3
2020-04-07,0.415,0.415,170,1,42.568,18.3
2020-04-08,0.405,0.41,156,1,42.568,18.3
2020-04-09,0.425,0.42,109,2,42.568,18.3
2020-04-10,0.425,0.41,118,3,42.568,18.3
2020-04-13,0.41,0.395,134,1,42.568,18.3
2020-04-14,0.395,0.4,170,3,42.568,18.3
2020-04-15,0.405,0.41,85,2,42.568,18.3
2020-04-16,0.41,0.415,110,2,42.568,18.3
2020-04-17,0.42,0.415,69,1,42.568,18.3
2020-04-20,0.415,0.415,36,1,42.568,18.3
2020-04-21,0.41,0.405,57,2,42.568,18.3
2020-04-22,0.4,0.405,50,2,42.568,18.3
2020-04-23,0.405,0.405,71,1,42.568,18.3
2020-04-24,0.405,0.415,88,1,42.568,18.3
2020-04-27,0.42,0.41,40,1,42.568,18.3
2020-04-28,0.41,0.405,31,1,42.568,18.3
2020-04-29,0.41,0.405,94,1,42.568,18.3
2020-04-30,0.41,0.41,57,2,42.568,18.3
2020-05-04,0.41,0.41,55,0,42.568,18.3
2020-05-05,0.415,0.415,30,2,42.568,18.3
2020-05-06,0.42,0.415,45,0,42.568,18.3
2020-05-08,0.415,0.41,68,0,42.568,18.3
2020-05-12,0.41,0.405,16,1,42.568,18.3
2020-05-13,0.405,0.395,37,2,42.568,18.3
2020-05-14,0.395,0.39,40,0,42.568,18.3
2020-05-15,0.39,0.395,36,0,42.568,18.3
2020-05-18,0.4,0.415,47,1,42.568,18.3
2020-05-19,0.42,0.415,37,0,42.568,18.3
2020-05-20,0.415,0.415,31,0,42.568,18.3
2020-05-21,0.42,0.415,50,1,42.568,18.3
2020-05-22,0.415,0.4,78,0,42.568,18.3
